first_name,last_name,full_name,pos,war_pos,war_p,war_tot,war_162,wae,wam,wwpa,wwar,c_pct,rp_pct,wwar_norm,is_pitcher,is_hitter,b_pa,b_ab,b_h,b_2b,b_3b,b_hr,b_bb,b_hbp,b_sf,ba,obp,slg,ops_plus,p_w,p_l,p_sv,p_ip,p_h,p_er,p_bb,p_so,p_hr,era,era_plus,hof_status,induction_year
Bill,Dinneen,Bill Dinneen,P,-1.5,16.4,14.9,16.9,6.6,0.0,2.8,26.2,,0.033,26.4,yes,,,,,,,,,,,,,,,85,85,3,1501.0,1372,469,338,602,39,2.81,106
Josh,Beckett,Josh Beckett,P,0.1,19.3,19.4,19.4,6.3,0.1,0.5,26.3,,0.000,26.3,yes,,,,,,,,,,,,,,,84,47,0,1112.7,1048,500,300,1014,137,4.04,113,active
Duffy,Lewis,Duffy Lewis,LF,20.0,0.0,20.0,21.0,1.1,0.0,3.9,26.1,,,26.1,,yes,4884,4325,1248,254,62,27,303,37,0,0.289,0.340,0.395,117,,,,,,,,,,,,hof,2002
Jackie,Jensen,Jackie Jensen,RF,20.4,0.0,20.4,21.4,4.0,0.0,0.0,25.4,,,25.4,,yes,4518,3857,1089,187,28,170,585,14,52,0.282,0.374,0.478,123,,,,,,,,,,,,hof,2000
Bill,Lee,Bill Lee,P,-0.3,17.8,17.5,17.5,4.0,0.3,0.9,22.7,,0.480,24.6,yes,,,,,,,,,,,,,,,94,68,13,1503.3,1627,608,448,578,136,3.64,110,hof,2008
Buck,Freeman,Buck Freeman,RF,17.4,0.0,17.4,19.7,3.4,0.0,0.8,23.9,,,23.9,,yes,3385,3077,879,158,90,48,215,34,0,0.286,0.339,0.442,130
Bruce,Hurst,Bruce Hurst,P,0.0,17.7,17.7,17.7,2.9,0.0,2.6,23.2,,0.084,23.5,yes,,,,,,,,,,,,,,,88,73,0,1459.0,1569,686,479,1043,173,4.23,102,hof,2004
Chick,Stahl,Chick Stahl,CF,17.8,0.0,17.8,19.7,3.0,0.0,0.6,23.3,,,23.3,,yes,3407,3004,871,122,62,17,280,33,0,0.290,0.357,0.389,121
Curt,Schilling,Curt Schilling,P,0.0,14.5,14.5,14.5,5.0,0.4,1.5,21.4,,0.176,22.1,yes,,,,,,,,,,,,,,,53,29,9,675.0,712,296,108,574,84,3.95,121,ineligible
Trot,Nixon,Trot Nixon,RF,20.5,0.0,20.5,20.5,1.0,0.0,0.3,21.8,,,21.8,,yes,3829,3285,912,204,28,133,454,31,42,0.278,0.366,0.478,116
Howard,Ehmke,Howard Ehmke,P,-0.8,14.3,13.5,14.2,5.7,0.7,0.0,20.6,,0.118,21.0,yes,,,,,,,,,,,,,,,51,64,8,989.7,1042,421,330,373,32,3.83,112
Rich,Gedman,Rich Gedman,C,10.5,0.0,10.5,10.5,5.6,1.0,0.9,18.0,0.946,,21.0,,yes,3129,2856,741,164,12,83,206,16,24,0.259,0.310,0.412,94
Billy,Goodman,Billy Goodman,2B,19.2,0.0,19.2,20.2,0.6,0.0,0.0,20.8,,,20.8,,yes,5043,4383,1343,247,34,14,559,22,7,0.306,0.387,0.388,101,,,,,,,,,,,,hof,2004
